"id","me.b1","me.b2","me.b3","me.b1.add","me.b2.add","me.b3.add","me.b1.inter","me.b2.inter","me.b3.inter","me.b1.sel","me.b2.sel","me.b3.sel","rmse.b1","rmse.b2","rmse.b3","rmse.b1.add","rmse.b2.add","rmse.b3.add","rmse.b1.inter","rmse.b2.inter","rmse.b3.inter","rmse.b1.sel","rmse.b2.sel","rmse.b3.sel","pow.b1","pow.b2","pow.b3","pow.b1.add","pow.b2.add","pow.b3.add","pow.b1.inter","pow.b2.inter","pow.b3.inter","pow.b1.sel","pow.b2.sel","pow.b3.sel"
"medFX_noBias",0.00106317673689195,-0.00074973166483738,-0.00277723842255436,-0.01911146863423,-0.000992809268454568,-0.00345492009625547,-0.00376744277447223,-0.0157650688861673,-0.0385730218871365,-1.51065905997639e-05,-0.0014941653374635,-0.0019733188769258,0.0419090783123748,0.0603558290474568,0.0589681414555715,0.107446342003353,0.0610025875987023,0.0598916958034284,0.177524903152926,0.255975158843806,0.257340991676242,0.0420993250733416,0.0641056716666225,0.0613062598430802,0.043,1,1,0.047,1,1,0.041,0.195,0.571,NA,NA,1
"smallFX_noBias",0.00306574448565417,-0.106024202245164,-0.200769182787502,-0.0338094714287106,-0.107030452890563,-0.201237680696353,-0.0513890549117356,-0.0558486860130047,-0.195937159495045,0.00179052580626579,-0.106854338594852,-0.201147635250802,0.042382022473872,0.119496309624245,0.209870756292283,0.106189231194334,0.121242522478296,0.210761472262397,0.174068024594127,0.229786433668633,0.321301431919515,0.0428498421743582,0.121896650526998,0.212199879180864,0.03,0.89,1,0.03,0.87,1,0.04,0.13,0.35,0.05,0.89,1
"smallFX_medPBhiQRP",0.248017595757553,-0.168262489651055,-0.358541006962748,-0.160209641645514,-0.167317529161367,-0.372826864546004,-0.273288742684281,-0.0454451093351752,-0.146919894441758,-0.00126562950793012,-0.17654533350705,-0.265012158557771,0.252766450689092,0.178652587427622,0.363334188657609,0.183680276693725,0.174825392766187,0.376452213909597,0.31682457142265,0.19903591653008,0.253795127807736,0.0344871942927439,0.184000017564233,0.274533717940054,1,0.608,0.975,0.329,0.65,0.985,0.353,0.135,0.441,NA,NA,NA
